,,,,,,,Daily Price Arrival Report-30-11-2025 to 10-06-2026 for Multiple States,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,370.00","2,370.00","2,370.00",Rs./Quintal,6.00,Metric Tonnes,23-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,000.00","3,000.00","3,000.00",Rs./Quintal,3.00,Metric Tonnes,20-01-2026
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),Other,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.50,Metric Tonnes,16-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,08-01-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,30-05-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,10-06-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,09-06-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,08-06-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,06-06-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,05-06-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,03-06-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,02-06-2026
Andhra Pradesh,Bapatla,Bapatla APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,0.10,Metric Tonnes,01-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,31-05-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,10-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,09-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,08-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,06-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,04-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,03-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,02-06-2026
Andhra Pradesh,Bapatla,Kuchinapudi APMC,Cereals,Paddy(Common),B P T,Local,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,01-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,400.00","2,369.00",Rs./Quintal,48.00,Metric Tonnes,10-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC,Cereals,Paddy(Common),1001,Local,"2,386.00","2,500.00","2,386.00",Rs./Quintal,86.40,Metric Tonnes,09-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC,Cereals,Paddy(Common),1001,Local,"2,389.00","2,410.00","2,389.00",Rs./Quintal,86.40,Metric Tonnes,08-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,468.00","2,369.00",Rs./Quintal,48.00,Metric Tonnes,06-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC,Cereals,Paddy(Common),1001,FAQ,"2,369.00","2,490.00","2,369.00",Rs./Quintal,55.40,Metric Tonnes,05-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Cereals,Paddy(Common),1121,FAQ,"2,369.00","2,468.00","2,369.00",Rs./Quintal,66.80,Metric Tonnes,10-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Cereals,Paddy(Common),1121,FAQ,"2,369.00","2,468.00","2,369.00",Rs./Quintal,159.60,Metric Tonnes,09-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,369.00","2,468.00","2,369.00",Rs./Quintal,137.80,Metric Tonnes,08-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,369.00","2,388.00","2,369.00",Rs./Quintal,98.40,Metric Tonnes,10-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,369.00","2,380.00","2,369.00",Rs./Quintal,16.80,Metric Tonnes,09-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,369.00","2,384.00","2,369.00",Rs./Quintal,153.10,Metric Tonnes,08-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC,Cereals,Paddy(Common),1001,FAQ,"2,369.00","2,389.00","2,369.00",Rs./Quintal,65.50,Metric Tonnes,06-06-2026
Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,369.00","2,380.00","2,369.00",Rs./Quintal,211.10,Metric Tonnes,05-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,30-05-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,10-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,09-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,08-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,06-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,05-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,04-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,03-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,02-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,01-06-2026
Andhra Pradesh,Eluru,Nuzvid APMC,Cereals,Paddy(Common),Sona,Local,"2,390.00","2,390.00","2,390.00",Rs./Quintal,30.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,31-05-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,30-05-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,29-05-2026
